transaction_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
1,milk,bread,butter,eggs,cheese,NULL,NULL,NULL,NULL,NULL
2,milk,bread,eggs,cheese,NULL,NULL,NULL,NULL,NULL,NULL
3,bread,butter,tomato,onion,potato,NULL,NULL,NULL,NULL,NULL
4,milk,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
5,milk,bread,butter,chocolate,soda,NULL,NULL,NULL,NULL,NULL
6,apple,banana,tomato,onion,NULL,NULL,NULL,NULL,NULL,NULL
7,rice,chicken,salt,onion,tomato,NULL,NULL,NULL,NULL,NULL
8,milk,bread,rice,chicken,NULL,NULL,NULL,NULL,NULL,NULL
9,milk,bread,butter,eggs,coffee,NULL,NULL,NULL,NULL,NULL
10,banana,apple,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL
11,milk,yogurt,banana,apple,NULL,NULL,NULL,NULL,NULL,NULL
12,bread,butter,cheese,tea,NULL,NULL,NULL,NULL,NULL,NULL
13,rice,beef,onion,tomato,salt,NULL,NULL,NULL,NULL,NULL
14,milk,bread,eggs,sugar,NULL,NULL,NULL,NULL,NULL,NULL
15,coffee,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,apple,banana,milk,yogurt,NULL,NULL,NULL,NULL,NULL,NULL
17,bread,butter,eggs,cheese,milk,NULL,NULL,NULL,NULL,NULL
18,rice,chicken,potato,onion,NULL,NULL,NULL,NULL,NULL,NULL
19,milk,coffee,sugar,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
20,tomato,onion,potato,salt,NULL,NULL,NULL,NULL,NULL,NULL
21,milk,bread,butter,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,rice,chicken,onion,tomato,NULL,NULL,NULL,NULL,NULL,NULL
24,milk,bread,cheese,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,coffee,tea,sugar,milk,NULL,NULL,NULL,NULL,NULL,NULL
26,milk,bread,butter,eggs,cheese,NULL,NULL,NULL,NULL,NULL
27,milk,bread,eggs,cheese,NULL,NULL,NULL,NULL,NULL,NULL
28,bread,butter,tomato,onion,potato,NULL,NULL,NULL,NULL,NULL
